country,location_id,location,latitude,longitude,confirmedcases_10-01-2020,deaths_10-01-2020,confirmedcases_11-01-2020,deaths_11-01-2020,confirmedcases_12-01-2020,deaths_12-01-2020,confirmedcases_13-01-2020,deaths_13-01-2020,confirmedcases_14-01-2020,deaths_14-01-2020,confirmedcases_15-01-2020,deaths_15-01-2020,confirmedcases_16-01-2020,deaths_16-01-2020,confirmedcases_17-01-2020,deaths_17-01-2020,confirmedcases_18-01-2020,deaths_18-01-2020,confirmedcases_19-01-2020,deaths_19-01-2020,confirmedcases_20-01-2020,deaths_20-01-2020,confirmedcases_21-01-2020,deaths_21-01-2020,confirmedcases_22-01-2020,deaths_22-01-2020,confirmedcases_23-01-2020,deaths_23-01-2020,confirmedcases_24-01-2020,deaths_24-01-2020,confirmedcases_25-01-2020,deaths_25-01-2020,confirmedcases_26-01-2020,deaths_26-01-2020,confirmedcases_27-01-2020,deaths_27-01-2020,confirmedcases_28-01-2020,deaths_28-01-2020,confirmedcases_29-01-2020,deaths_29-01-2020,confirmedcases_30-01-2020,deaths_30-01-2020,confirmedcases_31-01-2020,deaths_31-01-2020,confirmedcases_01-02-2020,deaths_01-02-2020,confirmedcases_02-02-2020,deaths_02-02-2020,confirmedcases_03-02-2020,deaths_03-02-2020,confirmedcases_04-02-2020,deaths_04-02-2020,confirmedcases_05-02-2020,deaths_05-02-2020,confirmedcases_06-02-2020,deaths_06-02-2020,confirmedcases_07-02-2020,deaths_07-02-2020,confirmedcases_08-02-2020,deaths_08-02-2020,confirmedcases_09-02-2020,deaths_09-02-2020,confirmedcases_10-02-2020,deaths_10-02-2020,confirmedcases_11-02-2020,deaths_11-02-2020,confirmedcases_12-02-2020,deaths_12-02-2020,confirmedcases_13-02-2020,deaths_13-02-2020,confirmedcases_14-02-2020,deaths_14-02-2020
Australia,470,New South Wales,-32.33,146.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
Australia,473,Queensland,-22.9,144.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,2,,2,,2,,2,,3,,4,,5,,5,,5,,5,,5,,5,,5,,5,,5,
Australia,474,South Australia,-29.49,135.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,
Australia,476,Victoria,-36.98,144.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,2,0,3,0,3,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
Belgium,600,Brussels,50.836,4.3753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
Cambodia,802,Sihanoukville,10.616,103.578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Canada,826,British Columbia,55.07,-124.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,1,,2,,2,,4,,4,,4,,4,,4,,4,,4,,4,,5,
Canada,833,Ontario,49.79,-83.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,2,0,2,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0
China,898,Anhui,32.106,117.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,15,0,60,0,70,0,106,0,152,0,200,0,237,0,297,0,340,0,408,0,480,0,530,0,591,0,665,0,733,0,779,1,830,3,860,4,889,4,910,5,934,6,950,6
China,899,Beijing,39.906217,116.3912757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,10,0,14,0,26,0,36,0,68,0,72,1,91,1,102,1,114,1,132,1,168,1,191,1,191,1,212,1,253,1,274,1,297,1,315,2,326,2,337,2,342,3,352,3,366,3,372,3,375,4
China,900,Chongqing,29.5364,106.5646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,9,0,27,0,75,0,110,0,132,0,147,0,165,0,206,0,247,1,275,1,312,2,337,2,376,2,400,2,411,2,426,2,446,2,468,2,486,2,505,3,518,3,529,4,537,5
China,901,Fujian,26.215,118.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,10,0,35,0,56,0,73,0,82,0,82,0,120,0,144,0,159,0,179,0,194,0,205,0,215,0,224,0,239,0,250,0,261,0,267,0,272,0,279,0,281,0,285,0
China,902,Gansu,38.007,102.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,7,0,14,0,19,0,24,0,26,0,29,0,35,0,40,0,51,0,55,0,57,0,62,0,67,0,71,1,79,1,83,2,86,2,86,2,87,2,90,2,90,2
China,903,Guangdong,23.115,113.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,26,0,26,0,53,0,53,0,111,0,151,0,188,0,241,0,311,0,393,0,535,0,632,0,683,0,797,0,895,0,970,0,1018,1,1075,1,1120,1,1151,1,1177,1,1219,1,1241,2,1261,2,1294,2
China,904,Guangxi,23.831,108.831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,0,23,0,36,0,46,0,51,0,58,0,78,0,87,0,100,0,111,0,127,0,139,0,150,0,168,0,172,0,183,0,195,1,210,1,215,1,222,1,222,2,226,2,235,2
China,905,Guizhou,26.986,106.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,0,5,0,7,0,9,0,9,0,12,0,15,0,29,0,38,0,46,0,56,0,64,0,69,1,77,1,89,1,96,1,109,1,118,1,131,1,135,1,140,1,143,1
China,906,Hainan,19.179,109.534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,8,0,22,0,31,1,40,1,43,1,46,1,51,1,62,1,64,1,71,1,80,1,91,1,106,1,115,2,124,2,128,2,136,3,142,3,151,3,157,4,158,4,162,4
China,907,Hebei,38.763,115.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,1,13,1,18,1,33,1,48,1,65,1,82,1,96,1,104,1,113,1,126,1,135,1,157,1,171,1,195,1,206,2,218,2,239,2,251,2,265,3,283,3,291,3
China,908,Heilongjiang,47.798,128.320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,4,1,15,1,21,1,30,1,38,1,43,1,59,2,80,2,95,2,121,2,155,2,190,2,227,3,277,3,295,5,307,6,331,7,360,8,378,8,395,9,418,11,425,11
China,909,Henan,34.194,113.302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,5,0,9,0,83,1,128,1,168,1,206,2,278,2,352,2,422,2,493,2,566,2,675,2,764,2,851,2,914,3,981,4,1033,6,1073,6,1105,7,1135,8,1169,10,1184,11,1212,13
China,910,Hong-Kong,22.3082,114.1809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,5,0,5,0,8,0,8,0,8,0,8,0,12,0,13,0,14,0,15,0,15,1,18,1,21,1,24,1,26,1,26,1,36,1,42,1,49,1,50,1,53,1,56,1
China,911,Hubei,31.118,112.293,44,1,44,1,44,1,44,1,44,1,44,2,45,2,62,2,121,2,198,3,270,3,375,9,444,17,549,24,729,39,1058,52,1423,76,2714,100,3554,125,4586,162,5806,204,7153,249,9074,294,11177,350,13522,414,16678,479,19665,549,22112,618,24953,699,27100,780,29631,871,31728,974,33366,1068,48206,1203,51986,1318,54406,1457
China,912,Hunan,27.8549,111.8326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,24,0,24,0,69,0,100,0,143,0,221,0,277,0,332,0,389,0,463,0,521,0,593,0,661,0,711,0,772,0,803,1,838,1,879,1,912,1,946,2,968,2,988,2,1001,2
China,913,Jiangsu,33.022,120.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,9,0,33,0,47,0,70,0,99,0,129,0,168,0,202,0,236,0,271,0,308,0,341,0,373,0,408,0,439,0,468,0,492,0,515,0,543,0,570,0,593,0,604,0
China,914,Jiangxi,27.999,115.598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,7,0,18,0,36,0,48,0,72,0,109,0,162,0,240,0,286,0,333,0,391,0,476,0,548,0,600,0,661,0,698,0,740,0,771,1,804,1,844,1,872,1,900,1,913,1
China,915,Jilin,43.620,126.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,0,6,0,8,0,9,0,14,0,14,0,17,0,23,0,31,0,42,0,54,0,59,0,65,1,69,1,78,1,80,1,81,1,83,1,84,1,86,1,88,1
China,916,Liaoning,40.9975197,122.9955469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,4,0,21,0,24,0,30,0,38,0,41,0,48,0,63,0,69,0,73,0,77,0,81,0,89,0,95,0,99,0,105,0,107,0,108,0,116,0,116,1,117,1,119,1
China,1879,Macau,22.1927,113.543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,2,0,5,0,6,0,7,0,7,0,7,0,7,0,8,0,8,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0
China,917,Nei Mongol,43.085,114.302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7,0,11,0,15,0,16,0,18,0,20,0,23,0,27,0,34,0,35,0,42,0,46,0,50,0,50,0,54,0,58,0,58,0,60,0,61,0,65,0,68,0
China,918,Ningxia,37.409,105.908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,4,0,7,0,11,0,12,0,17,0,21,0,26,0,28,0,31,0,34,0,34,0,40,0,43,0,45,0,45,0,49,0,53,0,58,0,64,0,67,0,70,0
China,919,Qinghai,35.78,96.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,6,0,6,0,6,0,8,0,9,0,11,0,13,0,15,0,17,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0
China,920,Shaanxi,34.827,109.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,22,0,35,0,46,0,56,0,63,0,87,0,101,0,116,0,128,0,142,0,165,0,173,0,184,0,195,0,208,0,213,0,219,0,225,0,229,0,230,0,232,0
China,921,Shandong,36.187,118.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,6,0,15,0,46,0,75,0,95,0,121,0,145,0,184,0,206,0,230,0,259,0,275,0,307,0,347,0,386,0,407,0,435,1,459,1,486,1,497,1,506,2,519,2,532,2
China,922,Shanghai,31.227,121.498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,16,0,20,0,20,0,40,1,53,1,66,1,80,1,101,1,135,1,169,1,182,1,203,1,219,1,243,1,257,1,277,1,281,1,293,1,229,1,302,1,311,1,315,1,318,1,326,1
China,923,Shanxi,37.688,112.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,9,0,13,0,20,0,20,0,36,0,39,0,47,0,56,0,66,0,74,0,81,0,90,0,96,0,104,0,115,0,119,0,122,0,124,0,126,0,126,0,127,0
China,924,Sichuan,30.65,102.881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,8,0,15,0,44,0,69,0,90,0,108,0,142,1,177,1,207,1,231,1,254,1,282,1,301,1,321,1,344,1,364,1,386,1,405,1,417,1,436,1,451,1,463,1,470,1
China,925,Taiwan,25.021,121.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,3,0,4,0,5,0,8,0,8,0,9,0,10,0,10,0,10,0,10,0,11,0,11,0,16,0,16,0,17,0,18,0,18,0,18,0,18,0,18,0,18,0
China,926,Tianjin,39.124,117.191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,5,0,8,0,14,0,18,0,24,0,27,0,29,0,32,0,37,0,48,0,56,0,66,0,69,1,78,1,81,1,88,1,90,1,94,1,102,2,107,2,113,3,120,3,121,3
